날짜,samsumg,skhynix,samsung_delta,skhynix_delta,samsung_delta_change,skhynix_delta_change,Term,samsung_return,skhynix_return,rf,samsung_stock_nums,samsung_invest_moneys,samsung_remain_moneys,samsung_costs,skhynix_stock_nums,skhynix_invest_moneys,skhynix_remain_moneys,skhynix_costs,total_invest_money,total_remain_money,total_money
2018-10-31,42400.0,68200.0,0.08916049175802442,0.04949126370294143,0.08916049175802442,0.04949126370294143,0.98,1.0,1.0,1.939,10514.0,445793600.0,4553537709.6,668690.4,3628.0,247429600.0,4752199255.6,371144.4,693223200.0,9305736965.2,9998960165.2
2018-11-07,44000.0,70800.0,0.09442551183817406,0.050713813968111636,0.005265020080149646,0.001222550265170208,0.96,1.0377358490566038,1.0381231671554252,1.964,11507.0,489485600.0,4683281436.535167,65538.0,3812.0,260456800.0,4921478243.49439,19540.8,776197600.0,9604759680.029556,10380957280.029556
2018-11-14,44100.0,70400.0,0.09326439240485399,0.047670453865893456,-0.0011611194333200764,-0.0030433601022181803,0.94,1.0400943396226414,1.032258064516129,1.922,12580.0,536804900.0,4637697683.425146,70978.95,3994.0,273269600.0,4910559038.021476,19219.2,835955600.0,9548256721.44662,10384212321.44662
2018-11-21,42100.0,68100.0,0.09723038328483313,0.048462719920199494,0.003965990879979148,0.0007922660543060386,0.92,0.9929245283018868,0.998533724340176,1.946,13803.0,588293200.0,4587881068.831133,77232.45,4188.0,286481000.0,4899195412.999215,19817.100000000002,866309100.0,9487076481.830349,10353385581.830349
2018-11-28,43150.0,71900.0,0.09869483034606598,0.0480692883747396,0.0014644470612328458,-0.0003934315454598922,0.9,1.017688679245283,1.0542521994134897,1.92,15165.0,647063500.0,4530771319.334634,88155.45,4389.0,300932900.0,4886607880.524453,21677.850000000002,969938850.0,9417379199.859087,10387318049.859087
2018-12-05,41450.0,68200.0,0.09597039341401323,0.05222461682025654,-0.002724436932052751,0.004155328445516936,0.88,0.9775943396226415,1.0,1.901,16620.0,707373250.0,4472074103.225714,90464.625,4618.0,316550700.0,4872822260.168767,23426.7,1003846600.0,9344896363.394482,10348742963.394482
2018-12-12,40450.0,66200.0,0.10325494236272402,0.0515250092276288,0.007284548948710792,-0.0006996075926277365,0.86,0.9540094339622641,0.9706744868035191,1.803,18336.0,776785450.0,4404218352.852131,104118.3,4856.0,332306300.0,4858875018.592952,23633.4,1063158400.0,9263093371.445084,10326251771.445084
2018-12-19,39100.0,60300.0,0.104052561113727,0.0479945236997936,0.000797618751002982,-0.003530485527835199,0.84,0.9221698113207547,0.8841642228739003,1.783,20244.0,851388250.0,4331052477.040727,111904.2,5089.0,346356200.0,4846537214.713363,21074.850000000002,1098407100.0,9177589691.75409,10275996791.75409
2018-12-27,38250.0,61600.0,0.10573814633119166,0.04969549272579514,0.0016855852174646607,0.0017009690260015378,0.82,0.902122641509434,0.9032258064516129,1.81,22385.0,933281500.0,4250539568.093964,122839.875,5342.0,361941000.0,4832638074.51215,23377.2,1185293450.0,9083177642.606113,10268471092.606113
2019-01-07,38750.0,58700.0,0.11141488092586677,0.048075642513232104,0.0056767345946751036,-0.0016198502125630357,0.8,0.9139150943396226,0.8607038123167156,1.807,24879.0,1029924000.0,4155243828.810008,144963.75,5599.0,377026900.0,4819259650.518826,22628.850000000002,1292722550.0,8974503479.328835,10267226029.328835
2019-01-14,40050.0,62100.0,0.11086015850969044,0.053262329006314654,-0.0005547224161763231,0.00518668649308255,0.78,0.9445754716981132,0.9105571847507331,1.797,27637.0,1140381900.0,4046070366.7173934,165686.85,5897.0,395532700.0,4802447304.526746,27758.7,1473065550.0,8848517671.244139,10321583221.244139
2019-01-21,42750.0,67000.0,0.12063526536447353,0.05063326187738586,0.009775106854783083,-0.002629067128928797,0.76,1.008254716981132,0.9824046920821115,1.821,30971.0,1282910400.0,3904719796.2985287,213792.75,6196.0,415565700.0,4784089402.746246,30049.5,1739142250.0,8688809199.044775,10427951449.044775
2019-01-28,45050.0,71800.0,0.125224992039004,0.05335113206592484,0.0045897266745304754,0.0027178701885389803,0.74,1.0625,1.0527859237536656,1.82,34849.0,1457614300.0,3731101436.032548,262055.85,6527.0,439331500.0,4762007891.420119,35648.700000000004,2038586050.0,8493109327.452667,10531695377.452667
2019-01-31,46150.0,73900.0,,,,,,1.088443396226415,1.0835777126099706,1.809,34849.0,1457614300.0,3731101436.032548,262055.85,6527.0,439331500.0,4762007891.420119,35648.700000000004,2090626650.0,8493109327.452667,10583735977.452667
